,Datetime,Text,Quotes,Likes,Retweets
0,2023-03-01 21:00:23+00:00,"Congrats to our newest Transit Operations graduates! There’s no better time to apply than now: New  $1,000 hiring bonus + increased hourly rates for select positions, incl. Bus Operators and Bus Mechanics! 
Register for our next career fair on Fri (3/10): https://t.co/sTk72l7ukt https://t.co/Oho7gblpvX",0,12,1
1,2023-03-01 14:01:43+00:00,"We're hosting an in-person career fair on Friday, March 10! Join us to hear about our career opportunities for Bus Operator and Bus Mechanic positions.

Register today: https://t.co/pa7LfsVGLt https://t.co/y03SGDxESH",0,4,1
2,2023-02-28 15:55:11+00:00,"We've increased our starting hourly rate for Full-Time Bus Operators to $28.99 with a top pay of $38.66 at 33 months! Newly hired Full-Time Bus Operators are eligible to receive a $1,000 signing bonus &amp; up to another $3,000 in additional incentives!
Apply: https://t.co/yfhkLhZvxn https://t.co/sC8BfPA8du",2,9,2
3,2023-02-27 23:00:15+00:00,"We're hosting an in-person career fair on Friday, March 10! Join us to hear about our career opportunities for Bus Operator and Bus Mechanic positions.

Register today: https://t.co/pa7LfsVGLt https://t.co/2z6DJDDl2e",0,3,2
4,2023-02-25 04:00:04+00:00,"[Planned Work w/Part Closure] Blue Line: Now thru 4am Mon, Bus Substitution Between Addison and Western (O'Hare branch) https://t.co/LMFhFc3dY7",0,1,2
5,2023-02-24 21:25:09+00:00,"Traveling this weekend? Know before you go! 

Check for planned weekend service changes that could affect your trip, like Blue Line bus substitutions and temporary bus stop changes. 
https://t.co/1PqBmcI7AS",0,4,0
6,2023-02-23 00:00:17+00:00,"We're hiring Full-Time Bus Mechanics with a new starting hourly rate of $40.59! This role comes with great benefits and paid training.
Need more reasons to apply? We're also providing a $1,000 signing bonus to newly hired Mechanics! 
Apply today: https://t.co/DfL5PgIHTs https://t.co/rUjfy5nYWg",0,4,2
7,2023-02-22 22:01:07+00:00,"We've increased our starting hourly rate for Full-Time Bus Operators to $28.99 with a top pay of $38.66 at 33 months! Newly hired Full-Time Bus Operators are eligible to receive a $1,000 signing bonus &amp; up to another $3,000 in additional incentives!
Apply: https://t.co/yfhkLhZvxn https://t.co/3IwsSACTb6",0,5,3
8,2023-02-18 16:20:11+00:00,"We've increased our starting hourly rate for Full-Time Bus Operators to $28.99 with a top pay of $38.66 at 33 months! Newly hired Full-Time Bus Operators are eligible to receive a $1,000 signing bonus &amp; up to another $3,000 in additional incentives!
Apply: https://t.co/yfhkLhZvxn https://t.co/X0E4oH1OhB",3,23,6
9,2023-02-18 14:15:12+00:00,"Let us and @Metra transport you to all the fun and excitement at the 2023 @ChiAutoShow!

Our Auto Show shuttle bus provides a fast ride to and from McCormick Place for:
Union Station
Ogilvie Transportation Center
LaSalle Street Station https://t.co/oVeKrMRq95",2,14,2
10,2023-02-17 00:01:26+00:00,"⏪1974
Mary Wallace began her career as CTA’s first female bus operator. She retired 33 years later. #BlackHistoryMonth #CTA75 https://t.co/o75b7R0QSx",2,187,23
11,2023-02-14 20:00:30+00:00,"Starting next week, our 1-Day &amp; 3-Day unlimited-ride passes will be accepted on Pace Suburban Bus! All passes are available for purchase through the Ventra fare collection system.

More: https://t.co/NPLvuI592B https://t.co/DXf5wVSNpm",1,19,7
12,2023-02-14 18:30:16+00:00,"Spend the day with your Valentine at the @ChiAutoShow! We'll transport you there with @Metra.

Our shuttle bus provides a fast ride to and from McCormick Place for:
Union Station
Ogilvie Transportation Center
LaSalle Street Station
More: https://t.co/LCrJRVNXWt https://t.co/PZ61ldh4Jh",0,4,1
13,2023-02-11 14:00:34+00:00,"Let us and @Metra transport you to all the fun and excitement at the 2023 @ChiAutoShow!

Our Auto Show shuttle bus provides a fast ride to and from McCormick Place for:
Union Station
Ogilvie Transportation Center
LaSalle Street Station https://t.co/OTgUyUBosB",2,18,2
14,2023-02-10 19:00:20+00:00,"Our service reliability is improving. January saw the highest percentage of scheduled service delivered in over a year for bus and rail. We have a long way to go, but we're moving in the right direction. 
See more at https://t.co/Bug1vUkUeh https://t.co/qwlv1shtDK",28,117,8
15,2023-02-09 15:20:19+00:00,"We've increased our starting hourly rate for Full-Time Bus Operators to $28.99 with a top pay of $38.66 at 33 months! Newly hired Full-Time Bus Operators are eligible to receive a $1,000 signing bonus &amp; up to another $3,000 in additional incentives!
Apply: https://t.co/yfhkLhZvxn https://t.co/iY3yBqfEyb",1,3,1
16,2023-02-08 03:00:18+00:00,Other funding received under the current federal administration includes $29M from @FTA_DOT to purchase zero-emission buses and advance our “Charging Forward Plan” as part of our commitment to convert from gas powered to all electrified bus fleet by 2040! https://t.co/8WcAE5vJOe https://t.co/e0ulOHixyV,0,19,2
17,2023-02-07 22:12:14+00:00,"@chicago_denise @ctaaction We're sorry you were late. If your bus was going slow, it might have been to avoid running ahead of schedule. Avoiding ""running hot"" is a way we and other agencies work to prevent bus bunching &amp; long waits: https://t.co/IJBYXIozCN",0,0,0
18,2023-02-07 22:04:00+00:00,@gisellebassxo We're sorry to hear you encountered this. Please contact our Customer Service department with details (bus # or route/stop/direction/time) so we can fix it: https://t.co/oBpWShjKxn,0,0,0
19,2023-02-07 15:42:31+00:00,"@BBGLIVE2 If you see someone smoking on a train or bus, please let CTA staff and security guards know.  We’ll continue to work to address as quickly as possible.",0,0,0
20,2023-02-07 15:42:16+00:00,"@BBGLIVE2 With 2,000+ train trips and 19,000 bus trips daily, it is impossible for us to stop every single instance of smoking on CTA. But by continuing to enforce this basic rule, we hope to improve the travel environment as much as possible.",0,0,0
21,2023-02-07 14:20:17+00:00,"We've increased our starting hourly rate for Full-Time Bus Operators to $28.99 with a top pay of $38.66 at 33 months! Newly hired Full-Time Bus Operators are eligible to receive a $1,000 signing bonus &amp; up to another $3,000 in additional incentives!
Apply: https://t.co/yfhkLhZvxn https://t.co/Vh5KXTBIKs",6,70,21
22,2023-02-06 20:54:36+00:00,"@NathanLeeOlson @shelb_a_delb In some cases, you may see a bus disappear from listings because it was removed from service or was diverted along an unexpected path. We're working to minimize how often this happens. More info: https://t.co/ACG59yYgIk",0,0,0
23,2023-02-06 18:01:10+00:00,"@Silvertower7 @streetsblogchi @TransitCenter @activetrans @RTA_Chicago The letters are merely unique, easy to remember labels. The area map or staff as you exit a station can point you to stop ""E"" for the specific bus you need, for ex, and then when you walk outside it's a nice visible symbol to be able to spot and walk toward even if across street.",0,5,0
24,2023-02-06 16:07:42+00:00,"@CallYouOut2023 We're sorry this has been your experience. If the heat isn't working or not working well enough, please let the operator know. They can't troubleshoot it on the bus, but they can report it to the garage for repair.",0,0,0
